id,front,back,status,tags
164,Which of the following concerning urinary tract infection (UTI) in children is FALSE ?,Answer: B: risk of developing the disease is greater in female newborns Explanation: Exam trap: risk of developing the disease is greater in female newborns is the excluded/false choice. The table/true-set above shows what remains correct.,valid,pediatrics leks 2026 valid
165,Which of the following is the most probable diagnosis in a 12-year-old patient with decreased concentrations of complement component 3 (C3) and normal concentrations of complement component 4 (C4)?,Answer: B: postinfectious glomerulonephritis Explanation: Exam anchor: postinfectious glomerulonephritis. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
166,Which of the following diagnoses should be considered the most probable in a boy over 2 years of age with increased levels of transaminases and phosphocreatine kinase if the mother reports that her son is clumsy?,Answer: E: muscular dystrophy Explanation: Exam anchor: muscular dystrophy. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
167,"A 15-month-old child who was vaccinated according to the current immunization schedule should be immune to tuberculosis, diphtheria, tetanus, pertussis and:","Answer: C: hepatitis B, Haemophilus influenzae type B, pneumococci, rotaviruses, poliomyelitis, measles, mumps, rubella Explanation: Polish vaccine schedules change over time; use the current PSO rather than memorizing an old year-specific sequence. The answer here has been checked against the current schedule logic.",caveat/updated,pediatrics leks 2026 caveat_updated
168,"A 10-year-old girl was admitted to the ER because of generalized urticaria and difficulty in breathing. The symptoms occurred after she was stung by a bee. At the admission it was stated: disseminated urticaria on the skin, symptoms of wheezing on auscultation, breath rate 56/min, heart rate 110/min, RR 75/50 mmHg. Which of the following variants of therapeutic treatment is correct?","Answer: A: intramuscular administration of epinephrine, intravenous access and administration of fluids Explanation: Exam anchor: intramuscular administration of epinephrine, intravenous access and administration of fluids. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
169,"The Streptococcus pyogenes infection may cause various complications in children, mainly related to autoimmune reactions. These complications include: 1) haemolytic-uraemic syndrome (HUS); 2) rheumatic fever; 3) obsessive-compulsive disorder syndrome (PANDAS); 4) acute glomerulonephritis; 5) periodic fever, aphthous stomatitis, pharyngitis and adenitis syndrome (PFAPA)","Answer: D: 2,4 Caveat: Legacy A includes HUS and PFAPA as autoimmune complications of GAS and treats PANDAS as settled. The established post-streptococcal immune complications in this list are acute rheumatic fever and post-streptococcal glomerulonephritis -> D. Explanation: Exam anchor: 2,4. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
170,Indicate true statements concerning urinary tract infections in children: 1) Gram negative bacteria are the most common etiological factor; 2) clinical signs in neonates ARE NOT specific; 3) primary diagnostic procedure is voiding cystourethrography; 4) voiding disturbances are predisposing factors; 5) length of treatment depends on the severity of child condition,"Answer: B: 1,2,4,5 Caveat: Legacy A calls VCUG the primary diagnostic procedure for UTI. UTI diagnosis starts with appropriately collected urine urinalysis/culture; VCUG is selective imaging. Statements 1,2,4,5 are true -> B. Explanation: Exam anchor: 1,2,4,5. Retain this as the single best answer for the clinical fact tested in this stem.",caveat/updated,pediatrics leks 2026 caveat_updated
171,"A 16-year-old patient complaining of persistent pruritus for 3 months uses immunosuppressive treatment in the form of ointments and creams, prescribed by a dermatologist, with no result. In the patient's relation her neck has recently ‘swelled’, and she reports also weakness and reduced exercise tolerance. On the examination, tachypnea, a bundle of enlarged lymph nodes (the largest with a diameter of 3 cm) in the region of the sternocleidomastoid muscle and the supraclavicular area on the same side were noted. An increased vascularization of the chest skin is visible. The patient should be…","Answer: B: center dealing with cancer treatment in children, because of the suspicion of superior vena cava syndrome secondary to lymphoma Explanation: Exam anchor: center dealing with cancer treatment in children, because of the suspicion of superior vena cava syndrome secondary to lymphoma. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
172,In a 15-year-old girl with asymptomatic bacteriuria you should:,Answer: D: not administer any pharmacotherapy Explanation: Exam anchor: not administer any pharmacotherapy. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
173,The foramen ovale is located:,Answer: B: in intraatrial septum Explanation: Exam anchor: in intraatrial septum. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
174,The most common cause of signs and symptoms of Cushing’s syndrome is:,Answer: C: chronic administration of glucocorticoids Explanation: Exam anchor: chronic administration of glucocorticoids. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
175,The diagnosis of urinary tract infection in newborns can be established on the basis of:,"Answer: A: any number of Gram-negative bacteria in urine taken by suprapubic puncture Explanation: For urine culture in a non-toilet-trained infant, suprapubic aspiration has the lowest contamination; catheter collection is also acceptable. Bag cultures are not diagnostic.",caveat/updated,pediatrics leks 2026 caveat_updated
176,The main features of WAGR syndrome are:,"Answer: C: aniridia, Wilms tumor, genitourinary malformations, mental retardation Explanation: Exam anchor: aniridia, Wilms tumor, genitourinary malformations, mental retardation. Retain this as the single best answer for the clinical fact tested in this stem.",valid,pediatrics leks 2026 valid
177,"A 15-year-old boy called at the doctor’s office because of discomfort, runny nose and 2 3 5 cough. The measured temperature was 37.5°C. On physical examination reddish and swollen throat and rhinitis. The physician assigned the patient 1 point according to Centor/McIsaac criteria. Consequently, he should treat the boy with:",Answer: C: symptomatic treatment only Explanation: Exam anchor: symptomatic treatment only. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
178,The indication for an urgent hospitalization of a child with bronchial asthma is:,"Answer: D: difficulties in eating, drinking and speaking Explanation: Asthma is variable expiratory airflow limitation with wheeze/cough/dyspnoea; inhaled corticosteroid-containing therapy reduces exacerbation risk.",caveat/updated,pediatrics leks 2026 caveat_updated
179,An infant received the second dose of DTP vaccine 20 days after the first one. What is the proper management in this case?,Answer: B: second dose should be considered not realized and it should be repeated after 4 weeks; next doses should be given according to the schedule Explanation: Exam anchor: second dose should be considered not realized and it should be repeated after 4 weeks; next doses should be given according to the schedule. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
180,Indicate the true statement concerning Ewing’s sarcoma:,Answer: B: primary lesion causes laminated periosteal reaction Explanation: Exam anchor: primary lesion causes laminated periosteal reaction. Retain this as the single best answer for the clinical fact tested in this stem. Q181-Q210,valid,pediatrics leks 2026 valid
181,Indicate the FALSE statement of hives:,Answer: A: hives is not accompanied by anaphylactic shock Explanation: Exam trap: hives is not accompanied by anaphylactic shock is the excluded/false choice. The table/true-set above shows what remains correct.,caveat/updated,pediatrics leks 2026 caveat_updated
182,A thirteen-year-old boy has been complaining for several weeks of abdominal pain and black stools. What test should be performed first?,Answer: D: endoscopy with biopsy Explanation: Exam anchor: endoscopy with biopsy. Retain this as the single best answer for the clinical fact tested in this stem.,valid,pediatrics leks 2026 valid
